ano;variacao(mm)
1993;4,03189189189189
1994;8,00810810810811
1995;11,1845945945946
1996;13,2552777777778
1997;17,2883783783784
1998;14,9113513513514
1999;18,5240540540541
2000;21,7732432432432
2001;27,3475675675676
2002;31,4838888888889
2003;34,8497297297297
2004;36,8108108108108
2005;41,6040540540541
2006;43,0677777777778
2007;43,6645945945946
2008;45,8430555555556
2009;50,9464864864865
2010;52,25
2011;51,5972972972973
2012;62,4859459459459
2013;64,9067567567568
2014;68,5613888888889
2015;79,5467567567568
2016;81,7132432432432
2017;82,8586486486487
2018;87,0854054054054
2019;94,0713513513514
2020;95,1077777777778
2021;99,4245945945946
2022;101,332692307692
